chart_year,artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
All time (1989),Joy Division,Love Will Tear Us Apart (1980),0.559,0.716,11.0,-3.964,0.0,0.39,0.737,0.0,0.252,0.504,176.618,audio_features,4jtyUzZm9WLc2AdaJ1dso7,spotify:track:4jtyUzZm9WLc2AdaJ1dso7,https://api.spotify.com/v1/tracks/4jtyUzZm9WLc2AdaJ1dso7,https://api.spotify.com/v1/audio-analysis/4jtyUzZm9WLc2AdaJ1dso7,275227.0,4.0
All time (1990),Joy Division,Love Will Tear Us Apart (1980),0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,167693.0,4.0
All time (1991),Nirvana,Smells Like Teen Spirit (1991),0.783,0.479,7.0,-10.646,1.0,0.541,0.149,0.0,0.101,0.533,176.027,audio_features,3JKgcAa7r07ocVWcV8bS0H,spotify:track:3JKgcAa7r07ocVWcV8bS0H,https://api.spotify.com/v1/tracks/3JKgcAa7r07ocVWcV8bS0H,https://api.spotify.com/v1/audio-analysis/3JKgcAa7r07ocVWcV8bS0H,163798.0,4.0
1993,Denis Leary,Asshole,0.83,0.585,0.0,-6.476,1.0,0.094,0.237,0.0,0.248,0.485,109.978,audio_features,6Im9k8u9iIzKMrmV7BWtlF,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,173711.0,4.0
1994,The Cranberries,Zombie,0.813,0.557,10.0,-6.655,0.0,0.133,0.0547,0.0,0.128,0.764,83.012,audio_features,4wmZtoif8SGm7PDqgKrEXr,spotify:track:4wmZtoif8SGm7PDqgKrEXr,https://api.spotify.com/v1/tracks/4wmZtoif8SGm7PDqgKrEXr,https://api.spotify.com/v1/audio-analysis/4wmZtoif8SGm7PDqgKrEXr,104912.0,4.0
1995,Oasis,Wonderwall,0.52,0.852,0.0,-5.866,1.0,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,audio_features,58ge6dfP91o9oXMzq3XkIS,spotify:track:58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/tracks/58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/audio-analysis/58ge6dfP91o9oXMzq3XkIS,253587.0,4.0
1996,Spiderbait,Buy Me a Pony,0.618,0.717,7.0,-5.738,1.0,0.318,0.00256,0.0,0.625,0.603,190.05,audio_features,5NQbUaeTEOGdD6hHcre0dZ,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/tracks/5NQbUaeTEOGdD6hHcre0dZ,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ,196693.0,4.0
1997,The Whitlams,No Aphrodisiac,0.466,0.786,0.0,-5.13,1.0,0.0328,0.417,6.1e-05,0.125,0.571,203.903,audio_features,4obHzpwGrjoTuZh2DItEMZ,spotify:track:4obHzpwGrjoTuZh2DItEMZ,https://api.spotify.com/v1/tracks/4obHzpwGrjoTuZh2DItEMZ,https://api.spotify.com/v1/audio-analysis/4obHzpwGrjoTuZh2DItEMZ,210507.0,4.0
1998,The Offspring,Pretty Fly (For a White Guy),0.532,0.584,8.0,-5.254,1.0,0.0248,0.723,0.0,0.101,0.367,88.003,audio_features,0sKEilrw1GrBlG6qsTCrP4,spotify:track:0sKEilrw1GrBlG6qsTCrP4,https://api.spotify.com/v1/tracks/0sKEilrw1GrBlG6qsTCrP4,https://api.spotify.com/v1/audio-analysis/0sKEilrw1GrBlG6qsTCrP4,190680.0,4.0
All Time (1998),Nirvana,Smells Like Teen Spirit (1991),0.402,0.526,9.0,-6.741,0.0,0.0904,0.113,8.33e-06,0.105,0.312,81.404,audio_features,51EC3I1nQXpec4gDk0mQyP,spotify:track:51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/tracks/51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/audio-analysis/51EC3I1nQXpec4gDk0mQyP,339067.0,4.0
1999,Powderfinger,These Days,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,167693.0,4.0
2000,Powderfinger,My Happiness,0.777,0.712,10.0,-4.84,1.0,0.277,0.217,0.0,0.091,0.68,95.692,audio_features,7KbF6AdprOXEEHlsq11Z6d,spotify:track:7KbF6AdprOXEEHlsq11Z6d,https://api.spotify.com/v1/tracks/7KbF6AdprOXEEHlsq11Z6d,https://api.spotify.com/v1/audio-analysis/7KbF6AdprOXEEHlsq11Z6d,175733.0,4.0
2001,Alex Lloyd,Amazing,0.636,0.656,2.0,-5.542,0.0,0.0676,0.451,7.97e-06,0.287,0.439,171.918,audio_features,3KJ3opyV29269SXkPrc19l,spotify:track:3KJ3opyV29269SXkPrc19l,https://api.spotify.com/v1/tracks/3KJ3opyV29269SXkPrc19l,https://api.spotify.com/v1/audio-analysis/3KJ3opyV29269SXkPrc19l,151506.0,4.0
